group_id,分类,分类中文,日文母故事名,网站显示文本,子剧情数量,出现次数,source_sha256,children_sha256
memoria:3f994f9becc840d8,メモリア,记忆结晶资料,No.392 乙女のひそかな嗜み,No.392 少女的秘密爱好,1,1,3f994f9becc840d8b2ffd0570ec7d5450b375dbf2191f592f20a6038e7ae2a4c,8e1484a1b9acfa675cd7ca870885053abe7ee2d7eb92bb0fd1605c79e4f5d777
memoria:f2110eb70610fa94,メモリア,记忆结晶资料,No.393 いつもと違うお月様,No.393 与往常不同的月亮,1,1,f2110eb70610fa9459edc9862b75d4e1ce6ba5a576e4b8ab895546ad7f6e008d,b55213a1a0c1675ca44e91dadc5cabb29e02f6a057fb5be9db64e64655097da8
memoria:5c8912650943915b,メモリア,记忆结晶资料,No.394 交流会へようこそ,No.394 欢迎来到交流会,1,1,5c8912650943915b7f0c5a1a97f53e4fbd7e1bced05ed0259f53ad5a01ccfa73,6c8df165b716dc447f9dd99cf7baedd3d3cb08b7729376ffe336c05389baa414
memoria:8b3222354a3b4773,メモリア,记忆结晶资料,No.395 カミハ☆マギカ,No.395 KAMIHA☆MAGICA,1,1,8b3222354a3b477388c5bb43ed80497951785d9acb4fa311a73560d4712ca036,4cbf5a88fe5c649cfdcaec614ef2e8ce756a243d9943053f55abd7c40e5a067e
memoria:93e88068eef17e7c,メモリア,记忆结晶资料,No.396 自堕落なひととき,No.396 自暴自弃的一刻,1,1,93e88068eef17e7c0f09f7719192eb88f6d883d603b8052e7bccd9c6c1f5378c,0dbafd361757aef5bf9b4a28e257b2ce8291196d14a386f89906904424527ef4
memoria:6070c97975f4d4d0,メモリア,记忆结晶资料,No.397 唯一無二の矛盾,No.397 独一无二的矛盾,1,1,6070c97975f4d4d07814a2e1e027cee825cbb9a1d66cf7966aac9fc53d325501,00ccec3b502c20e1044147bb1e4195cece39cefb154d25e08100abcf71c1494a
memoria:5814b04107bc2953,メモリア,记忆结晶资料,No.398 深紅の決断,No.398 深红的决断,1,1,5814b04107bc29531c3c84d2be70c7bf068aac4c3d77b6174276f1a1a07646ab,b20b4ceb8462db76657cf7f06937ca6209bd2d4c897aac2428ea3aed6f669096
memoria:ff068b2393670ee4,メモリア,记忆结晶资料,No.399 重なる謀略,No.399 重叠的谋略,1,1,ff068b2393670ee4d1b51cede9c3e3266a9ec16d22fcb0f07bab78af9bfadf6e,b57f618c49a639b9a03967794e6a255c2314fddc34974f3b69375f3472bf94d4
memoria:f0fc18084068e1bd,メモリア,记忆结晶资料,No.4 お菓子の魔女の手下,No.4 零食的魔女的手下,1,1,f0fc18084068e1bd13a3fea3607cd269f81f8a5296a9eef022031de7473695aa,9b609af087cdbb0aa15d11fbbed2a92656ab739ed59678bbd79f6b97692418c0
memoria:504e494a73b84f8e,メモリア,记忆结晶资料,No.40 これが恋の香り,No.40 这是恋爱的芳香,1,1,504e494a73b84f8eb92755b4fb321bda4dca038abe50569f7e4e4ee80fc7ec9a,8aeddfe34c4e4f8e53a7a0ae1b572038793711fe38c088f5789ce75e91f1313d
memoria:6aa37766d8a024e1,メモリア,记忆结晶资料,No.400 まっしろな未来,No.400 纯白的未来,1,1,6aa37766d8a024e12aac8faf40ad62a3c4306373916dd0f159d57af2f2e96c11,2d59164d4a8e09a32eec1bfc41a2435fc08e221a59b3b1de1cda83410c7e1843
memoria:7216e8963bd5da49,メモリア,记忆结晶资料,No.401 とびっきりの舞台,No.401 精彩绝伦的舞台,1,1,7216e8963bd5da49f9c0e6e8640007a5e5afb504fd839e7b6f43714e09d74533,b7b5f674f6f805d0f60812935cb4d1736950a643b358b3f4c711edd95dfedf5f
